index,rho,phi,left,right,mean,flags,left_cell,right_cell
41776,1.8333201636560261,5.8442390086757934,0.74993896484375,0,0,1,60379,59940
41777,3.232987632509321,4.4176603221302031,0,0,0,0,4294967295,4294967295
41778,2.8259849962778389,0.42562995795047287,0.64468866586685181,0.94456654787063599,0.7946276068687439,7,92713,93142
41779,0.35117074893787503,4.0341647140788126,0,0,0,0,4294967295,4294967295
41780,0.24473354360088706,2.9684681331843268,0,0,0,0,4294967295,4294967295
41781,2.5484705348499119,4.8722215704879064,0,0,0,0,4294967295,4294967295
41782,0.78989029629155993,5.1065152754525798,0.33260074257850647,0.44395604729652405,0.38827839493751526,7,27546,27237
41783,3.6417083987034857,0.31496192271973733,0.79267400503158569,0.12649573385715485,0.45958486199378967,7,119327,119776
41784,0.54593749949708581,3.6479268924203612,0,0,0,0,4294967295,4294967295
41785,1.6602690541185439,1.0640441483611807,0.61660563945770264,0.51550674438476562,0.56605619192123413,7,55906,56221
41786,0.46351833967491984,4.9661714305738274,0,0,0,0,4294967295,4294967295
41787,1.5221190298907459,6.1794383512795852,0.73772895336151123,0.31819292902946472,0.52796095609664917,7,50169,49670
41788,2.5234278249554336,0.013345599646364678,0.51794874668121338,0.94432234764099121,0.73113554716110229,7,82436,82939
41789,2.158021476585418,1.1621469139580003,0.73186814785003662,0.60341882705688477,0.66764348745346069,7,72298,72597
41790,0.19159046607092023,2.8277994283281389,0,0,0,0,4294967295,4294967295
41791,3.5318125407211483,2.3758160361942093,0,0,0,0,4294967295,4294967295
41792,1.005726604256779,6.0275574823860465,0.6090354323387146,0.23736263811588287,0.42319902777671814,7,33259,32788
41793,3.5177957830019295,5.3591920499630294,0.97240537405014038,0.90891331434249878,0.94065934419631958,7,116655,116304
41794,3.4656808977015316,6.2762021474572398,0.70500612258911133,0.13797314465045929,0.42148962616920471,7,113154,113661
41795,2.424191405531019,1.592800891739065,0,0,0,0,4294967295,4294967295
41796,2.0917991413734853,0.66526263218464632,0.58779001235961914,0.70940172672271729,0.64859586954116821,7,69183,69568
41797,3.4398292736150324,5.5171041833858032,0.97728937864303589,0.86593407392501831,0.9216117262840271,7,113597,113218
41798,3.0328031233511865,6.0698901520430857,0.028327228501439095,0.64322346448898315,0.33577534556388855,7,99823,99344
41799,3.3271312988363206,1.9578953939276789,0,0,0,0,4294967295,4294967295
41800,1.2515899664722383,2.5399891298396775,0,0,0,0,4294967295,4294967295
41801,1.7254378008656204,3.9507705891330582,0,0,0,0,4294967295,4294967295
41802,1.4834394962526858,5.1279783376124115,0.47399267554283142,0.58192920684814453,0.52796095609664917,7,50075,49764
41803,0.66295316303148866,5.058440522134708,0.29865691065788269,0.42710623145103455,0.36288157105445862,7,23445,23146
41804,0.27595394430682063,5.3412564504847486,0.31037852168083191,0.25030526518821716,0.28034189343452454,7,10158,9809
41805,2.5845588645897806,2.8907337091306893,0,0,0,0,4294967295,4294967295
41806,1.1099419756792486,2.7668319809035218,0,0,0,0,4294967295,4294967295
41807,0.75067896628752351,4.0760312175753031,0,0,0,0,4294967295,4294967295
41808,3.5315925679169595,1.5149578152967622,0,0,0,0,4294967295,4294967295
41809,3.0974616571329534,5.9520060261532093,0.023931624367833138,0.67301589250564575,0.34847375750541687,7,101861,101402
41810,2.1854672445915639,0.23796962823020346,0.48547008633613586,0.84346765279769897,0.66446888446807861,7,71704,72167
41811,0.12311919266358018,4.2506527705781858,0,0,0,0,4294967295,4294967295
41812,3.5444334386847913,1.0073177940751161,0.98901098966598511,0.90500611066818237,0.94700855016708374,7,117341,117666
41813,3.711606980767101,3.093856626518372,0,0,0,0,4294967295,4294967295
41814,2.3984444453381002,4.0744487425160072,0,0,0,0,4294967295,4294967295
41815,2.8924402534030378,2.9355168587343399,0,0,0,0,4294967295,4294967295
41816,1.4228446134366095,1.6868427196329576,0,0,0,0,4294967295,4294967295
41817,0.38959825644269586,0.96130349357766054,0.34090355038642883,0.27057388424873352,0.30573871731758118,7,13913,14246
41818,1.8184652798809111,3.0023105573485624,0,0,0,0,4294967295,4294967295
41819,0.31809732085093856,6.0972404003192784,0.48131868243217468,0.085714288055896759,0.28351649641990662,7,10738,10253
41820,1.9639992355369031,4.3970904021790433,0,0,0,0,4294967295,4294967295
41821,2.1118015027604997,4.0298037084711389,0,0,0,0,4294967295,4294967295
41822,3.0275028799660504,3.5813959543740284,0,0,0,0,4294967295,4294967295
41823,2.2632087473757565,1.222903184769121,0,0,0,0,4294967295,4294967295
41824,3.5843047914095223,2.7124505760425848,0,0,0,0,4294967295,4294967295
41825,3.7034158897586167,3.3131728986528497,0,0,0,0,4294967295,4294967295
41826,0.94235359458252788,2.5776322107850946,0,0,0,0,4294967295,4294967295
41827,0.92312663188204169,3.631651225124918,0,0,0,0,4294967295,4294967295
41828,2.412748655769974,2.2150345045294819,0,0,0,0,4294967295,4294967295
41829,3.8029244369827211,0.10611535443902084,0,0,0,0,4294967295,4294967295
41830,2.9693908584304154,0.74168053675996326,0.77753359079360962,0.87521368265151978,0.8263736367225647,7,97862,98233
41831,1.0108452499844134,4.2561461786463957,0,0,0,0,4294967295,4294967295
41832,1.5693473839201033,1.985967541073858,0,0,0,0,4294967295,4294967295
41833,2.2436789120547473,4.2229439523032557,0,0,0,0,4294967295,4294967295
41834,2.4374152678065002,6.2591580882923337,0.49377289414405823,0.93040293455123901,0.71208792924880981,7,79361,79870
41835,1.8908966458402574,2.2093657701182257,0,0,0,0,4294967295,4294967295
41836,3.639450226444751,0.20415158798451336,0.77557998895645142,0.14358974993228912,0.45958486199378967,7,119317,119786
41837,3.2601847159676254,1.7224212091627122,0,0,0,0,4294967295,4294967295
41838,1.2109078769572079,2.3312081456393727,0,0,0,0,4294967295,4294967295
41839,2.9034600486047566,2.9561403946331053,0,0,0,0,4294967295,4294967295
41840,3.8513497891835868,3.6275226040541355,0,0,0,0,4294967295,4294967295
41841,0.12417926033958793,2.7869082523150959,0,0,0,0,4294967295,4294967295
41842,1.6722358432598412,5.5641308787849981,0.62710624933242798,0.49865689873695374,0.56288158893585205,7,55746,55357
41843,1.4000833914615214,5.1601838954231649,0.4632478654384613,0.56092798709869385,0.51208794116973877,7,47518,47201
41844,1.5708179450593889,6.1603564282123253,0.74383395910263062,0.33113554120063782,0.53748476505279541,7,51703,51208
41845,2.7886110958643258,3.4512922624844657,0,0,0,0,4294967295,4294967295
41846,3.9686218923889101,1.15341858293655,0,0,0,0,4294967295,4294967295
41847,2.0367030869238079,1.6656238185005547,0,0,0,0,4294967295,4294967295
41848,1.5573015599511564,2.272181485799206,0,0,0,0,4294967295,4294967295
41849,3.2773797460831702,2.7923912809795342,0,0,0,0,4294967295,4294967295
41850,2.5412607700563967,2.9566499085192612,0,0,0,0,4294967295,4294967295
41851,3.7814903338439763,1.3201007932110831,0,0,0,0,4294967295,4294967295
41852,3.9319225871004164,4.8894354466463712,0,0,0,0,4294967295,4294967295
41853,0.043898172210901976,3.2471216997210051,0,0,0,0,4294967295,4294967295
41854,1.2538295458070934,1.8684357151158308,0,0,0,0,4294967295,4294967295
41855,0.0092620798386633396,4.3885513522761963,0,0,0,0,4294967295,4294967295
41856,2.6841493579559028,3.6693524775448392,0,0,0,0,4294967295,4294967295
41857,2.0049643055535853,5.1950275641275399,0.58901101350784302,0.67643469572067261,0.63272285461425781,7,66977,66654
41858,1.0024269768036902,5.3846305056911046,0.4632478654384613,0.38949939608573914,0.42637363076210022,7,33714,33357
41859,0.73927466617897153,5.4756862822554018,0.42295482754707336,0.32185593247413635,0.37240538001060486,7,25018,24645
41860,1.3016954655759037,0.027772982593346006,0.27203908562660217,0.69499391317367554,0.48351651430130005,7,42501,43002
