            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460680.997256944, A.D. 2025-Jan-05 11:56:03.0000, -1.026798262260248E+04,  8.780452455129534E+03,  4.570846159584474E+02, -5.300441744341215E+00, -1.496699189748981E+00,  4.869684838001183E+00,
2460680.997268518, A.D. 2025-Jan-05 11:56:04.0000, -1.027328221147365E+04,  8.778955039893468E+03,  4.619542525681926E+02, -5.298784505947582E+00, -1.498115814899453E+00,  4.869610611084195E+00,
2460680.997280092, A.D. 2025-Jan-05 11:56:05.0000, -1.027858014318340E+04,  8.777456208581152E+03,  4.668238145828498E+02, -5.297127597087639E+00, -1.499531186403005E+00,  4.869535651416095E+00,
2460680.997291666, A.D. 2025-Jan-05 11:56:06.0000, -1.028387641806375E+04,  8.775955962446493E+03,  4.716933012712203E+02, -5.295471018502991E+00, -1.500945305017994E+00,  4.869459960101421E+00,
2460680.997303241, A.D. 2025-Jan-05 11:56:07.0000, -1.028917103644749E+04,  8.774454302742664E+03,  4.765627119032114E+02, -5.293814770933240E+00, -1.502358171503348E+00,  4.869383538243736E+00,
2460680.997314815, A.D. 2025-Jan-05 11:56:08.0000, -1.029446399866817E+04,  8.772951230722070E+03,  4.814320457498360E+02, -5.292158855115967E+00, -1.503769786618569E+00,  4.869306386945631E+00,
2460680.997326389, A.D. 2025-Jan-05 11:56:09.0000, -1.029975530506005E+04,  8.771446747636377E+03,  4.863013020832100E+02, -5.290503271786741E+00, -1.505180151123723E+00,  4.869228507308708E+00,
2460680.997337963, A.D. 2025-Jan-05 11:56:10.0000, -1.030504498530676E+04,  8.769940857157233E+03,  4.911704989655263E+02, -5.288847945826726E+00, -1.506589348431985E+00,  4.869149910677642E+00,
2460680.997349537, A.D. 2025-Jan-05 11:56:11.0000, -1.031033301701324E+04,  8.768433558659899E+03,  4.960396211188300E+02, -5.287192936716030E+00, -1.507997315289192E+00,  4.869070590217953E+00,
2460680.997361111, A.D. 2025-Jan-05 11:56:12.0000, -1.031561939389231E+04,  8.766924852847422E+03,  5.009086635780515E+02, -5.285538262303365E+00, -1.509404033803199E+00,  4.868990544716315E+00,
2460680.997372685, A.D. 2025-Jan-05 11:56:13.0000, -1.032090411627794E+04,  8.765414740968183E+03,  5.057776256176236E+02, -5.283883923324713E+00, -1.510809504727107E+00,  4.868909775269278E+00,
2460680.997384259, A.D. 2025-Jan-05 11:56:14.0000, -1.032618718450487E+04,  8.763903224269792E+03,  5.106465065130785E+02, -5.282229920514061E+00, -1.512213728814564E+00,  4.868828282972403E+00,
2460680.997395833, A.D. 2025-Jan-05 11:56:15.0000, -1.033146859890854E+04,  8.762390303999111E+03,  5.155153055410460E+02, -5.280576254603405E+00, -1.513616706819765E+00,  4.868746068920260E+00,
2460680.997407407, A.D. 2025-Jan-05 11:56:16.0000, -1.033674835982515E+04,  8.760875981402241E+03,  5.203840219792535E+02, -5.278922926322737E+00, -1.515018439497444E+00,  4.868663134206444E+00,
2460680.997418982, A.D. 2025-Jan-05 11:56:17.0000, -1.034202646759160E+04,  8.759360257724527E+03,  5.252526551065242E+02, -5.277269936400069E+00, -1.516418927602874E+00,  4.868579479923562E+00,
