            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460676.864583333, A.D. 2025-Jan-01 08:45:00.0000,  2.921788559240827E+03, -1.196421856670980E+05,  8.989521623289013E+04,  5.240941929110378E-01, -3.216282738232418E-01, -1.173854028294257E-01,
2460676.868055556, A.D. 2025-Jan-01 08:50:00.0000,  3.079001157284169E+03, -1.197380341239952E+05,  8.985951907665499E+04,  5.239888819206575E-01, -3.173617019044194E-01, -1.205948041374760E-01,
2460676.871527778, A.D. 2025-Jan-01 08:55:00.0000,  3.236181341315310E+03, -1.198326028422309E+05,  8.982285984807127E+04,  5.238781009011286E-01, -3.130966703599534E-01, -1.237992289682119E-01,
2460676.875000000, A.D. 2025-Jan-01 09:00:00.0000,  3.393327471834344E+03, -1.199258922729400E+05,  8.978524003061008E+04,  5.237618605010763E-01, -3.088331064298450E-01, -1.269987405530275E-01,
2460676.878472222, A.D. 2025-Jan-01 09:05:00.0000,  3.550437912589038E+03, -1.200179028455236E+05,  8.974666108880889E+04,  5.236401709455074E-01, -3.045709375160087E-01, -1.301934017041524E-01,
2460676.881944444, A.D. 2025-Jan-01 09:10:00.0000,  3.707511030339773E+03, -1.201086349676321E+05,  8.970712446842161E+04,  5.235130420391689E-01, -3.003100911787074E-01, -1.333832748198094E-01,
2460676.885416667, A.D. 2025-Jan-01 09:15:00.0000,  3.864545194693315E+03, -1.201980890251880E+05,  8.966663159655186E+04,  5.233804831678075E-01, -2.960504951299922E-01, -1.365684218900928E-01,
2460676.888888889, A.D. 2025-Jan-01 09:20:00.0000,  4.021538778018454E+03, -1.202862653824540E+05,  8.962518388176410E+04,  5.232425033012571E-01, -2.917920772260971E-01, -1.397489045049493E-01,
2460676.892361111, A.D. 2025-Jan-01 09:25:00.0000,  4.178490155301813E+03, -1.203731643820648E+05,  8.958278271420821E+04,  5.230991109959979E-01, -2.875347654613210E-01, -1.429247838606360E-01,
2460676.895833333, A.D. 2025-Jan-01 09:30:00.0000,  4.335397704111762E+03, -1.204587863451143E+05,  8.953942946571180E+04,  5.229503143971289E-01, -2.832784879588215E-01, -1.460961207682043E-01,
2460676.899305556, A.D. 2025-Jan-01 09:35:00.0000,  4.492259804231943E+03, -1.205431315710623E+05,  8.949512548996328E+04,  5.227961212408078E-01, -2.790231729703448E-01, -1.492629756553321E-01,
2460676.902777778, A.D. 2025-Jan-01 09:40:00.0000,  4.649074837822200E+03, -1.206262003379243E+05,  8.944987212254602E+04,  5.226365388560684E-01, -2.747687488618602E-01, -1.524254085786613E-01,
2460676.906250000, A.D. 2025-Jan-01 09:45:00.0000,  4.805841189188410E+03, -1.207079929022473E+05,  8.940367068107954E+04,  5.224715741669335E-01, -2.705151441098214E-01, -1.555834792281348E-01,
2460676.909722222, A.D. 2025-Jan-01 09:50:00.0000,  4.962557244622622E+03, -1.207885094991202E+05,  8.935652246533909E+04,  5.223012336943785E-01, -2.662622872955965E-01, -1.587372469325999E-01,
2460676.913194444, A.D. 2025-Jan-01 09:55:00.0000,  5.119221392310384E+03, -1.208677503422200E+05,  8.930842875735534E+04,  5.221255235581431E-01, -2.620101070979992E-01, -1.618867706668299E-01,
