generation,branch,rho,phi,alive,cell,status,orientation
11,3786,-0.169610456,1.07086253,0,36014,3,0
11,3787,-0.126344442,0.977115095,1,38047,0,0
11,3810,-0.167297214,1.0585295,0,36012,3,0
11,3811,-0.123927213,0.964322567,1,38045,0,0
11,3812,-0.166157693,1.05333543,0,36011,3,0
11,3813,-0.122742265,0.958924711,1,38044,0,0
11,3814,-0.121637695,0.953657508,1,38043,0,0
11,3815,-0.120591663,0.813435853,1,38020,0,0
11,3818,-0.12049225,0.947575688,1,38042,0,0
11,3819,-0.119451687,0.807334602,1,38019,0,0
11,3824,-0.16403009,0.973724782,0,4294967295,1,0
11,3825,-0.120516181,0.946362138,1,38042,0,0
11,3826,-0.11942251,0.941052854,1,38041,0,0
11,3827,-0.118387476,0.800792634,1,38018,0,0
11,3828,-0.11837104,0.935127735,1,38040,0,0
11,3829,-0.117337547,0.794829667,1,38017,0,0
11,3830,-0.11636506,0.788992345,1,38016,0,0
11,3831,-0.115478098,0.648339868,1,37993,0,0
11,3832,-0.117370948,0.928620458,1,38039,0,0
11,3833,-0.161014736,0.821594894,0,4294967295,1,0
11,3834,-0.115381084,0.782469332,1,38015,0,0
11,3835,-0.1600914,0.680997431,0,4294967295,1,0
11,3836,-0.114493571,0.776201308,1,38014,0,0
11,3837,-0.113619514,0.635521233,1,37991,0,0
11,3838,-0.158486709,0.534142196,0,4294967295,1,0
11,3839,-0.112101138,0.488373816,1,37967,0,0
11,3862,-0.17202504,1.08119464,0,36016,3,0
11,3863,-0.128844947,0.987820923,1,38048,0,0
11,3866,-0.170810297,1.00851524,0,4294967295,1,0
11,3867,-0.127588212,0.982454598,1,38048,0,0
11,3868,-0.169667765,1.07092202,0,36014,3,0
11,3869,-0.126401752,0.97717458,1,38047,0,0
11,3974,-0.168385446,0.994049609,0,4294967295,1,0
11,3975,-0.168385446,0.994049609,0,4294967295,1,0
11,3978,-0.167172953,1.05623448,0,36012,3,0
11,3979,-0.123788454,0.961962879,1,38044,0,0
11,3980,-0.166035905,1.0510298,0,36011,3,0
11,3981,-0.122606032,0.956554294,1,38043,0,0
11,3982,-0.121495791,0.951239884,1,38043,0,0
11,3983,-0.120450437,0.810999155,1,38020,0,0
11,3988,-0.154265463,1.05626857,0,37036,3,0
11,3989,-0.121406876,0.950456917,1,38042,0,0
11,4002,-0.154286429,1.05502367,0,37035,3,0
11,4003,-0.121423744,0.949193358,1,38042,0,0
11,4004,-0.153141707,1.0497086,0,37035,3,0
