generation,branch,rho,phi,alive,cell,status,orientation
10,1988,-0.2184522,1.14666307,0,33978,3,0
10,1989,-0.189033628,1.04363239,1,34986,0,0
10,1990,-0.187137678,1.04391611,1,34986,0,0
10,1991,-0.18530786,0.909218431,1,34964,0,0
10,1994,-0.185133517,1.0444479,1,34986,0,0
10,1995,-0.223789394,0.934369922,0,4294967295,1,0
10,2002,-0.183153704,1.04524815,1,34986,0,0
10,2003,-0.181344479,0.910545647,1,34964,0,0
10,2004,-0.181234673,1.04577935,1,34986,0,0
10,2005,-0.179415211,0.911077142,1,35988,0,0
10,2008,-0.179327771,1.04656863,1,36010,0,0
10,2009,-0.217949376,0.936413109,0,4294967295,1,0
10,2010,-0.17568548,0.912388861,1,35988,0,0
10,2011,-0.21610412,0.8019256,0,4294967295,1,0
10,2012,-0.214265943,0.802679658,0,4294967295,1,0
10,2013,-0.172105476,0.778698206,1,35966,0,0
10,2014,-0.170370072,0.779458761,1,35967,0,0
10,2015,-0.168711826,0.645215213,1,35945,0,0
10,2024,-0.177390903,1.04763961,1,36010,0,0
10,2025,-0.175577819,0.912932634,1,35988,0,0
10,2028,-0.17193158,0.914227307,1,35988,0,0
10,2029,-0.170186922,0.779754639,1,35967,0,0
10,2030,-0.168460459,0.780508757,1,35967,0,0
10,2031,-0.166804239,0.646261394,1,35945,0,0
10,2032,-0.175531983,1.04869044,1,36010,0,0
10,2033,-0.173721954,0.91398108,1,35988,0,0
10,2036,-0.170108438,0.915260255,1,35989,0,0
10,2037,-0.168359712,0.780786455,1,35967,0,0
10,2038,-0.166622415,0.781542063,1,35967,0,0
10,2039,-0.164974898,0.647289455,1,35945,0,0
10,2042,-0.164867908,0.782553494,1,35967,0,0
10,2043,-0.163210347,0.648303568,1,35945,0,0
10,2044,-0.163175225,0.783548057,1,35967,0,0
10,2045,-0.161520258,0.649296403,1,35945,0,0
10,2046,-0.203604221,0.53841269,0,4294967295,1,0
10,2047,-0.158389315,0.516213655,1,35924,0,0
11,2112,-0.228659123,1.82458293,1,33065,0,0
11,2113,-0.227078959,1.68846107,1,33043,0,0
11,2116,-0.253400296,1.5750618,0,4294967295,1,0
11,2117,-0.221705317,1.55088234,0,34044,3,0
11,2118,-0.219843432,1.55018342,0,34044,3,0
11,2119,-0.226378679,1.40381289,0,34020,3,0
11,2120,-0.221322864,1.68623757,0,34066,3,0
11,2121,-0.219618529,1.55035484,0,34044,3,0
11,2124,-0.223677635,1.53827929,0,34042,3,0
11,2125,-0.222329453,1.40280914,0,34020,3,0
11,2126,-0.220400736,1.40236807,0,34020,3,0
11,2127,-0.219003811,1.26708472,0,33998,3,0
11,2128,-0.219107404,1.68596113,0,34066,3,0
11,2129,-0.225311726,1.53918207,0,34042,3,0
11,2130,-0.247318491,1.43851423,0,4294967295,1,0
11,2131,-0.222118527,1.40301502,0,34020,3,0
11,2132,-0.221468836,1.53800142,0,34042,3,0
11,2133,-0.220123619,1.40253234,0,34020,3,0
11,2134,-0.218212932,1.40209699,0,34020,3,0
11,2135,-0.243424296,1.30256629,0,4294967295,1,0
11,2136,-0.219356373,1.53776348,0,34042,3,0
11,2137,-0.226384744,1.39157581,0,34018,3,0
11,2138,-0.224480003,1.39113522,0,34018,3,0
11,2139,-0.223547861,1.25595355,0,33996,3,0
11,2140,-0.239306644,1.30208468,0,4294967295,1,0
11,2141,-0.221527725,1.25574327,0,33996,3,0
11,2142,-0.237367377,1.16690254,0,4294967295,1,0
11,2143,-0.218641356,1.12051094,0,33974,3,0
11,2144,-0.224275574,1.67482531,0,34064,3,0
11,2145,-0.223004669,1.53917742,0,34042,3,0
11,2146,-0.221163586,1.53848159,0,34042,3,0
11,2147,-0.219818801,1.40301263,0,34020,3,0
11,2150,-0.224295005,1.39137018,0,34018,3,0
11,2151,-0.223363042,1.25618863,0,33996,3,0
11,2156,-0.220178887,1.39091742,0,34018,3,0
11,2157,-0.219250754,1.25573659,0,33996,3,0
11,2158,-0.22618638,1.24494863,0,33994,3,0
11,2159,-0.235097036,1.16688037,0,4294967295,1,0
11,2240,-0.219470605,1.6753875,0,34065,3,0
11,2241,-0.226136729,1.52885568,0,34041,3,0
11,2242,-0.240246758,1.43900442,0,4294967295,1,0
11,2243,-0.240246758,1.43900442,0,4294967295,1,0
11,2244,-0.238289312,1.43850994,0,4294967295,1,0
11,2245,-0.221438721,1.39236653,0,34018,3,0
11,2246,-0.219543979,1.39192533,0,34018,3,0
11,2247,-0.218616426,1.25674474,0,33996,3,0
11,2250,-0.234291404,1.30280519,0,4294967295,1,0
11,2251,-0.225380376,1.24588597,0,33995,3,0
11,2252,-0.223847091,1.38075268,0,34017,3,0
11,2253,-0.223382801,1.24566936,0,33995,3,0
11,2254,-0.221456304,1.24548423,0,33994,3,0
11,2255,-0.220984727,1.11046422,0,33972,3,0
11,2264,-0.228040785,1.30261183,0,4294967295,1,0
11,2265,-0.219126865,1.24571443,0,33995,3,0
11,2270,-0.222212836,1.10005105,0,33971,3,0
11,2271,-0.183057696,1.00772023,1,34980,0,0
11,2272,-0.223792881,1.51686096,0,34039,3,0
11,2273,-0.223345488,1.38171601,0,34017,3,0
11,2274,-0.229914695,1.30309188,0,4294967295,1,0
11,2275,-0.229914695,1.30309188,0,4294967295,1,0
11,2276,-0.219453543,1.38105083,0,34017,3,0
11,2277,-0.227905259,1.30286479,0,4294967295,1,0
11,2286,-0.220005095,1.10032868,0,33971,3,0
11,2287,-0.180860475,1.00802708,1,34980,0,0
11,2294,-0.217893869,1.1006192,0,33971,3,0
11,2295,-0.217893869,1.03312409,0,4294967295,1,0
11,2300,-0.213889658,1.10123265,0,33971,3,0
11,2301,-0.174768656,1.00901222,1,36004,0,0
11,3328,-0.22239615,1.65738201,0,34062,3,0
11,3329,-0.221975684,1.52217591,0,34040,3,0
11,3330,-0.220173776,1.52147198,0,34039,3,0
11,3331,-0.219728962,1.38632488,0,34017,3,0
11,3358,-0.210358933,1.10412133,0,33971,3,0
11,3359,-0.171285108,1.01194274,1,36004,0,0
11,3386,-0.204053625,1.10495818,0,33972,3,0
11,3387,-0.16499652,1.01286316,1,36005,0,0
11,3388,-0.202137768,1.10525692,0,34996,3,0
11,3389,-0.163083628,1.01318741,1,36005,0,0
11,3390,-0.161244363,1.01351917,1,36005,0,0
11,3391,-0.200282082,0.903080225,0,4294967295,1,0
11,3406,-0.205973089,1.10493922,0,33972,3,0
11,3407,-0.205973089,1.03744411,0,4294967295,1,0
11,3430,-0.201742738,1.10577095,0,34996,3,0
11,3431,-0.201742738,1.03827584,0,4294967295,1,0
11,3436,-0.197829336,1.10635209,0,34996,3,0
11,3437,-0.158802107,1.01433742,1,36005,0,0
11,3438,-0.195981473,0.904173136,0,4294967295,1,0
11,3439,-0.155203655,0.880012155,1,37007,0,0
11,3442,-0.197716787,1.10660768,0,34996,3,0
11,3443,-0.158689737,1.01459467,1,36005,0,0
11,3750,-0.19733192,1.1077714,0,34996,3,0
11,3751,-0.158325627,1.01576126,1,36005,0,0
11,3754,-0.195341572,1.1080519,0,34996,3,0
11,3755,-0.156338289,1.0160681,1,36005,0,0
11,3756,-0.193420261,1.10834348,0,34996,3,0
11,3757,-0.154433519,1.01638317,1,37029,0,0
